CIP_Code	CIP_Category
03	Natural Resources and Conservation
04	Architecture and Related Services
05	Area, Ethnic, Cultural, Gender, and Group Studies
09	Communication, Journalism, and Related Programs
10	Communications Technologies/Technicians and Support Services
11	Computer and Information Sciences and Support Services
12	Personal and Culinary Services
13	Education
14	Engineering
15	Engineering Technologies and Engineering-related Fields
16	Foreign Languages, Literatures, and Linguistics
19	Family and Consumer Sciences/Human Sciences
22	Legal Professions and Studies
23	English Language and Literature/Letters
24	Liberal Arts and Sciences, General Studies and Humanities
25	Library Science
26	Biological and Biomedical Sciences
27	Mathematics and Statistics
29	Military Technologies and Applied Sciences
30	Multi/Interdisciplinary Studies
31	Parks, Recreation, Leisure and Fitness Studies
38	Philosophy and Religious Studies
39	Theology and Religious Vocations
40	Physical Sciences
41	Science Technologies/Technicians
42	Psychology
43	Homeland Security, Law Enforcement, Firefighting, and Related Protective Service
44	Public Administration and Social Service Professions
45	Social Sciences
46	Construction Trades
47	Mechanic and Repair Technologies/Technicians
48	Precision Production
49	Transportation and Materials Moving
50	Visual and Performing Arts
51	Health Professions and Related Programs
52	Business, Management, Marketing, and Related Support Services
54	History
